custormer_id,age,tenure_months,monthly_charges,Total_charges,support_calls,churn
1,56,49,91,7644,0,1
2,69,45,67,5614,3,1
3,46,27,85,5669,6,1
4,32,26,89,3090,1,1
5,60,47,47,5583,8,1
6,25,56,112,1999,7,1
7,38,63,45,2604,7,1
8,56,48,44,2872,6,1
9,36,61,31,7995,3,1
10,40,26,24,5445,1,1
11,28,36,117,5177,2,1
12,28,1,67,1254,5,1
13,41,8,56,687,4,1
14,70,52,98,4671,7,1
15,53,47,63,1921,5,1
16,57,56,119,1085,5,1
17,41,14,34,4179,0,1
18,20,28,62,3448,3,1
19,39,2,67,6399,4,1
20,70,26,106,3931,2,1
21,19,14,89,1341,8,1
22,41,59,65,289,0,1
23,61,56,62,5636,5,1
24,47,7,40,1080,5,1
25,55,3,42,1798,9,1
26,19,23,99,1815,4,1
27,38,18,66,2693,4,1
28,50,38,34,4236,9,1
29,29,15,44,6550,4,1
30,39,64,55,5138,5,1
31,61,28,94,4533,7,1
32,42,39,70,5533,1,1
33,66,57,34,1198,5,1
34,44,17,87,7196,0,1
35,59,44,40,2426,3,1
36,45,25,32,3347,9,1
37,33,17,105,995,2,1
38,32,13,38,7929,8,1
39,64,25,53,6516,2,1
40,68,68,97,7080,5,1
41,61,10,87,6863,0,1
42,69,67,71,1774,5,1
43,20,18,46,3009,3,1
44,54,34,48,1030,7,1
45,68,8,47,4484,8,1
46,24,40,54,823,3,1
47,38,42,27,3040,9,1
48,26,41,35,6515,9,1
49,56,6,55,6149,5,1
50,35,52,49,1189,0,1
51,21,26,37,4678,3,1
52,42,64,21,1035,6,1
53,31,59,68,2395,0,1
54,67,56,96,255,7,1
55,26,59,23,1170,9,1
56,43,70,109,2058,5,1
57,70,33,108,2601,4,1
58,19,53,113,6444,9,1
59,37,22,94,5879,8,1
60,45,21,26,4319,1,1
61,64,70,114,6244,4,1
62,24,70,93,5163,5,1
63,61,4,58,3930,6,1
64,25,62,32,954,4,1
65,64,62,50,739,8,1
66,52,24,90,2338,0,1
67,31,55,82,1702,6,1
68,34,9,75,6759,9,1
69,53,3,61,541,6,1
70,67,31,80,6140,3,1
71,57,40,61,6034,8,1
72,21,36,75,6025,4,1
73,19,24,55,6386,3,1
74,23,6,103,7458,6,1
75,71,66,87,4728,3,1
76,59,4,26,6470,2,1
77,21,6,73,1436,8,1
78,71,51,20,3800,7,1
79,46,62,63,1048,0,0
80,35,57,64,3473,6,1
81,43,66,66,7921,8,1
82,61,8,32,6215,7,1
83,51,26,41,559,7,1
84,27,51,40,7668,5,1
85,53,45,105,4746,3,1
86,31,44,111,492,7,1
87,48,5,28,4038,2,1
88,65,70,45,1887,8,1
89,32,26,28,5040,1,1
90,25,68,34,7474,1,1
91,31,19,29,2357,6,1
92,40,20,107,1238,9,1
93,57,12,61,3908,3,1
94,38,47,91,4841,9,1
95,33,1,43,7518,7,1
96,62,14,99,6462,8,1
97,35,64,68,2554,6,1
98,64,38,45,1566,4,1
99,70,37,110,3774,7,1
100,41,11,56,1477,3,1
101,43,3,87,7131,1,1
102,42,33,69,6801,5,1
103,62,6,43,2697,8,1
104,58,50,38,241,0,1
105,46,10,119,2759,9,1
106,32,5,79,4696,6,1
107,62,23,58,939,9,1
108,18,10,93,6945,8,1
109,42,44,108,3718,9,1
110,24,2,37,5878,8,1
111,26,13,38,5761,9,1
112,41,40,55,6242,2,1
113,18,2,93,4017,4,1
114,61,65,116,5726,7,1
115,25,63,74,695,7,1
116,41,17,88,2004,3,1
117,28,9,66,380,0,1
118,68,15,68,523,0,1
119,34,24,118,7099,3,1
120,25,38,117,4465,5,1
121,52,35,52,4349,7,1
122,52,49,40,6857,5,1
123,50,69,100,1850,8,1
124,22,62,41,4857,8,1
125,59,60,67,2067,1,1
126,56,50,56,4188,9,1
127,58,9,34,4278,0,1
128,45,34,54,7889,1,1
129,24,35,111,7190,4,1
130,26,1,90,3046,3,1
131,25,40,51,1549,3,1
132,29,64,30,5494,8,1
133,51,22,29,7980,7,1
134,50,60,92,2431,5,1
135,65,64,97,5175,0,1
136,40,11,96,2320,1,1
137,41,14,76,7594,5,1
138,54,60,44,3889,1,1
139,52,30,21,7330,9,1
140,61,35,83,7340,4,1
141,57,37,54,2910,4,1
142,39,5,26,5855,5,1
143,44,26,104,5594,5,1
144,52,62,37,4828,5,1
145,18,4,86,1631,1,1
146,52,42,61,4982,9,1
147,54,18,58,3090,2,1
148,64,40,60,7255,5,1
149,31,39,94,4593,7,1
150,20,14,43,1243,0,1
151,18,32,79,1033,0,1
152,22,51,65,1560,1,1
153,43,38,38,6048,5,1
154,31,23,87,2823,8,1
155,56,63,109,7179,3,1
156,44,15,61,2612,2,1
157,26,25,51,385,7,1
158,32,17,58,364,9,1
159,32,66,55,2467,8,1
160,43,53,116,6916,4,1
161,59,51,55,3547,8,1
162,30,39,22,7063,1,1
163,68,51,92,6332,2,1
164,49,70,27,5873,6,1
165,56,6,116,5422,6,1
166,66,67,89,5016,5,1
167,69,7,60,1862,5,1
168,49,51,87,3148,1,1
169,21,42,32,2481,9,1
170,47,64,68,2369,5,1
171,54,15,79,140,3,1
172,40,29,21,5927,2,1
173,56,33,79,167,1,1
174,62,27,24,1087,0,1
175,32,36,63,5995,4,1
176,60,29,46,6757,1,1
177,46,38,51,7904,1,1
178,53,57,40,7889,6,1
179,30,27,27,5817,7,1
180,49,55,91,4108,9,1
181,24,33,69,5851,7,1
182,68,68,86,3298,3,1
183,39,66,63,5474,0,1
184,45,10,77,4890,6,1
185,19,5,22,7283,0,1
186,59,38,105,2624,3,1
187,62,13,89,1185,7,1
188,70,31,21,7124,1,1
189,23,47,106,2579,5,1
190,45,52,63,1793,5,1
191,45,56,21,2415,8,1
192,61,15,100,5254,4,1
193,61,29,54,878,9,1
194,37,8,117,7843,3,1
195,47,5,106,4689,4,1
196,28,29,49,1685,9,1
197,45,47,27,1592,4,1
198,42,68,41,5986,7,1
199,56,45,63,760,9,1
200,50,2,77,1448,7,1
201,18,27,55,5523,1,1
202,44,36,88,1399,6,1
203,69,36,96,4040,7,1
204,30,26,112,2086,5,1
205,58,43,50,7951,4,1
206,20,27,66,7256,8,1
207,56,69,74,2144,2,1
208,23,20,99,7468,9,1
209,25,11,81,3616,3,1
210,44,38,49,6124,8,1
211,26,6,74,5543,5,1
212,54,23,35,1158,7,1
213,50,47,31,1076,6,1
214,68,46,36,4677,1,1
215,59,12,35,827,2,1
216,61,13,31,2627,0,1
217,41,62,27,3236,8,1
218,32,60,103,5227,6,1
219,71,43,22,7568,0,1
220,49,68,35,442,2,1
221,49,5,49,7698,3,1
222,41,37,42,1547,3,1
223,58,31,111,2479,4,1
224,69,9,24,6681,2,1
225,66,51,103,3759,2,1
226,66,29,84,6417,0,1
227,69,40,49,6802,6,1
228,29,41,40,626,9,1
229,56,11,103,1996,0,1
230,19,23,89,4854,1,1
231,20,1,41,2173,3,1
232,66,46,101,5015,3,1
233,54,21,91,6848,4,1
234,66,36,51,505,1,1
235,34,54,52,6475,3,1
236,66,57,35,6776,0,1
237,19,1,95,1673,1,1
238,19,63,57,6007,0,1
239,45,54,117,4700,9,1
240,71,55,33,3840,9,1
241,40,40,55,4374,3,1
242,54,15,116,4327,3,1
243,49,21,42,1946,6,1
244,50,47,85,1578,9,1
245,18,53,104,2495,8,1
246,36,9,21,6783,8,1
247,19,52,110,871,4,1
248,70,57,92,5625,9,1
249,61,26,84,6319,0,1
250,43,41,94,678,0,1
251,49,35,86,3001,5,1
252,23,63,71,5711,1,1
253,49,25,81,293,7,1
254,21,38,42,2107,8,1
255,28,2,45,1285,3,1
256,34,7,87,2494,4,1
257,55,34,101,3098,7,1
258,41,17,74,5580,2,1
259,22,43,25,1892,4,1
260,69,59,54,7851,2,1
261,51,51,41,1210,9,1
262,23,54,62,4105,2,1
263,39,24,34,7529,2,1
264,28,25,105,2361,6,1
265,65,71,79,3836,6,1
266,33,52,31,3893,6,1
267,50,70,68,2036,9,1
268,26,33,61,6816,7,1
269,23,49,57,4975,4,1
270,33,29,101,4457,4,1
271,46,63,64,829,3,1
272,20,22,54,4478,6,1
273,37,26,49,7915,9,1
274,53,28,107,5686,3,1
275,36,49,49,3551,1,1
276,43,71,97,4557,3,1
277,20,49,25,7716,7,1
278,36,20,86,4636,8,1
279,37,63,99,2240,2,1
280,49,61,26,1744,6,1
281,24,49,71,2900,8,1
282,69,71,33,5062,3,1
283,58,1,92,5643,9,1
284,50,13,34,241,2,1
285,57,51,40,5510,4,1
286,56,56,54,1555,0,1
287,35,62,85,6992,2,1
288,57,32,110,6071,7,1
289,18,30,21,6043,7,1
290,28,29,54,5908,3,1
291,45,49,101,6896,1,1
292,42,45,97,4896,7,1
293,67,30,39,5193,7,1
294,40,16,101,2196,9,1
295,48,40,29,1425,3,1
